id,banda_num,banda_nombre,angulo_incidencia,valor_promedio,valor_desvioest,fecha,UP,transecta,geomorfo,cobertura,tipo_humed,posicion,perimetro,area,per_area,y_cen,x_cen,sensor,tipo_sensor,tipo_escena,shp_file,img_file
0,0,VH,,0.039632414,0.016629696,28/09/2016,I4,0,Albardon,Bosque,Albardones_y_derrames_con_bosques,1,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
0,1,VV,,0.10713444,0.021225173,28/09/2016,I4,0,Albardon,Bosque,Albardones_y_derrames_con_bosques,1,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
1,0,VH,,0.01960532,0.006223905,28/09/2016,I4,0,Media_loma,Herbaceo-arbustiva,Media_lomas_y_bajos_con_mosaico_de_herbaceas,2,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
1,1,VV,,0.06709821,0.01553878,28/09/2016,I4,0,Media_loma,Herbaceo-arbustiva,Media_lomas_y_bajos_con_mosaico_de_herbaceas,2,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
2,0,VH,,0.0010581026,0.000791205,28/09/2016,I4,0,Bajo,Laguna-agua,Laguna_de_bajos,4,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
2,1,VV,,0.008375438,0.002228325,28/09/2016,I4,0,Bajo,Laguna-agua,Laguna_de_bajos,4,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
3,0,VH,,0.032214675,0.012186132,28/09/2016,I4,1,Albardon,Bosque,Albardones_y_derrames_con_bosques,1,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
3,1,VV,,0.10375015,0.031592105,28/09/2016,I4,1,Albardon,Bosque,Albardones_y_derrames_con_bosques,1,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
4,0,VH,,0.018439045,0.0046920134,28/09/2016,I4,1,Media_loma,Herbaceo,Media_lomas_y_bajos_con_mosaico_de_herbaceas,2,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
4,1,VV,,0.056148864,0.016022053,28/09/2016,I4,1,Media_loma,Herbaceo,Media_lomas_y_bajos_con_mosaico_de_herbaceas,2,,,,,,SENTINEL1,SAR,"GRD
",gdrive/MyDrive/ROIs_prueba2/Join/Poligonos_transectas_UPI4_EPSG4326_20220429.shp,gdrive/MyDrive/Raster/SAR/Sentinel1/GRD/Subset_S1B_IW_GRDH_1SDV_20160928T092137_20160928T092202_002267_003D17_DA37_Orb_NR_Cal_Spk_EC.tif
